Count_GFP_objects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06MeasureObjectIntensity,ExecutionTime_07MeasureImageIntensity,FileName_GFP,Frame_GFP,Group_Index,Group_Number,Height_GFP,ImageNumber,Intensity_LowerQuartileIntensity_GFP_GFP_objects,Intensity_MADIntensity_GFP_GFP_objects,Intensity_MaxIntensity_GFP_GFP_objects,Intensity_MeanIntensity_GFP_GFP_objects,Intensity_MedianIntensity_GFP_GFP_objects,Intensity_MinIntensity_GFP_GFP_objects,Intensity_PercentMaximal_GFP_GFP_objects,Intensity_StdIntensity_GFP_GFP_objects,Intensity_TotalArea_GFP_GFP_objects,Intensity_TotalIntensity_GFP_GFP_objects,Intensity_UpperQuartileIntensity_GFP_GFP_objects,MD5Digest_GFP,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06MeasureObjectIntensity,ModuleError_07MeasureImageIntensity,PathName_GFP,Scaling_GFP,Series_GFP,Threshold_FinalThreshold_GFP_objects,Threshold_OrigThreshold_GFP_objects,Threshold_SumOfEntropies_GFP_objects,Threshold_WeightedVariance_GFP_objects,URL_GFP,Width_GFP
1034,0,0,0.35,0,2.96,0.14,0.02,MFGTMP_210724100003_M04f00d0.PNG,0,13,1,1104,13,0.111512929,0.034088656,0.24856947,0.152341025,0.14048982,0.081040666,0.174582798,0.04888849,58425,8900.524,0.185259789,fc186251d6eb6280a3683e870e0feb77,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.09200597,0.074957272,-13.38934283,0.080423675,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M04f00d0.PNG,1104
1160,0,0,0.18,0,3.11,0.17,0.01,MFGTMP_210724100003_M04f01d0.PNG,0,14,1,1104,14,0.11433585,0.036789507,0.24856947,0.156921804,0.1457084,0.083665214,0.975890652,0.050006993,65991,10355.427,0.193949804,119b28a53cdd513b41c204667f96d438,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.09475388,0.076261412,-13.50266671,0.089896847,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M04f01d0.PNG,1104
1110,0,0,0.24,0,3.07,0.15,0.01,MFGTMP_210724100003_M04f02d0.PNG,0,15,1,1104,15,0.103746086,0.027649343,0.24856947,0.141227279,0.12712291,0.0767071,1.222781185,0.047313966,54466,7692.085,0.169462889,2c2e16f10868be311d5dfeba2c2f6110,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.086972926,0.073424181,-13.54833306,0.077174183,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M04f02d0.PNG,1104
1117,0,0,0.19,0,3.15,0.16,0.01,MFGTMP_210724100003_M04f03d0.PNG,0,16,1,1104,16,0.111009382,0.036728457,0.24856947,0.153538411,0.14010833,0.07803464,1.11494786,0.050475653,58209,8937.317,0.191470206,53dd24abeed796b0d2d25047d3ed3d49,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.091385929,0.07570171,-13.53141028,0.103711669,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M04f03d0.PNG,1104
853,0,0,0.26,0,3.12,0.13,0.01,MFGTMP_210724100003_M05f00d0.PNG,0,17,1,1104,17,0.104341194,0.027588315,0.24856947,0.139897745,0.1266804,0.07566949,0.411647053,0.046059337,42998,6015.323,0.166701004,c3ab9a3706bccd550d65e885ba082dd5,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.084604269,0.071158368,-13.38647622,0.066520313,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M05f00d0.PNG,1104
1059,0,0,0.18,0,3.04,0.14,0.01,MFGTMP_210724100003_M05f01d0.PNG,0,18,1,1104,18,0.101808198,0.029633023,0.24856947,0.137797752,0.12664989,0.0755169,0.71786691,0.04414283,52656,7255.8784,0.166582748,ab3db72038f1a4fbacd668a498f09f51,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.085091837,0.071651613,-13.44312234,0.069947428,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M05f01d0.PNG,1104
1020,0,0,0.18,0,3.07,0.14,0.01,MFGTMP_210724100003_M05f02d0.PNG,0,19,1,1104,19,0.101808198,0.029037923,0.24856947,0.139790714,0.12561227,0.07481498,0.598729967,0.04739174,49605,6934.3184,0.169665068,eba8a843dc81b98223b72c2c78032f82,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.085638831,0.072535568,-13.38707313,0.074627536,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M05f02d0.PNG,1104
769,0,0,0.25,0,2.95,0.13,0.01,MFGTMP_210724100003_M05f03d0.PNG,0,20,1,1104,20,0.104951553,0.032799274,0.24856947,0.143057931,0.13208972,0.06358434,1.260662995,0.04709418,37044,5299.438,0.173723966,7994382b46f63f4d15ecda84e787394c,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.082713178,0.070819555,-13.49611792,0.073558361,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M05f03d0.PNG,1104
1060,0,0,0.21,0,2.99,0.15,0.01,MFGTMP_210724100003_M06f00d0.PNG,0,21,1,1104,21,0.107209891,0.03144884,0.24856947,0.145904674,0.1338674,0.07638666,0.462112253,0.047810584,54965,8019.6504,0.176089108,43c094679905f8f5dc1419579789a45a,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.088965015,0.074018781,-13.55408674,0.082045967,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M06f00d0.PNG,1104
1257,0,0,0.24,0,2.98,0.17,0.01,MFGTMP_210724100003_M06f01d0.PNG,0,22,1,1104,22,0.108934157,0.029617757,0.24856947,0.14738377,0.13295186,0.07858396,0.498605093,0.048429538,67388,9931.897,0.178591594,a035cbcb37bb0775c418bef4ebf796ed,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.091836484,0.076098887,-13.39929217,0.083369745,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M06f01d0.PNG,1104
1304,0,0,0.25,0,3.07,0.16,0.01,MFGTMP_210724100003_M06f02d0.PNG,0,23,1,1104,23,0.105836578,0.028320745,0.24856947,0.142465714,0.12965591,0.07829404,1.243659702,0.045405023,67623,9633.959,0.169970244,f54a00dfb4f54c1beac0e30bf7efa41f,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.091136864,0.076511816,-13.56570881,0.084951601,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M06f02d0.PNG,1104
943,0,0,0.25,0,3,0.16,0.01,MFGTMP_210724100003_M06f03d0.PNG,0,24,1,1104,24,0.110807203,0.03668268,0.24856947,0.153209455,0.142504,0.079041734,1.80732359,0.04991196,50904,7798.974,0.188601509,0008e21f1b2def396f909555f775d3b2,0,0,0,0,0,0,0,/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII + FcFGL1deltaCC polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10;32;47,65535,0,0.090089012,0.074440791,-13.61487065,0.094016454,file:/Volumes/research/wangj59lab/wangj59labspace/Jasper/CX7/210723/MHCII%20%2B%20FcFGL1deltaCC%20polylysine/24h/TargetActivationAdvanced.V4.1_07-24-21_10%3B32%3B47/MFGTMP_210724100003_M06f03d0.PNG,1104
